Committee_Id,Committee_Name,Link_Image,Committee_Election_State,Committee_Election_District,Report_Type,Receipt_Date,Coverage_Start_Date,Coverage_End_Date,Quarterly_Contribution,Semi_Annual_Contribution
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201908169162885928+0","","","AUGUST MONTHLY","16-AUG-19","01-JUL-19","31-JUL-19","61500","0"
"C00674408","AMERICAN-HAITIAN GENERATION IN ACTION","http://docquery.fec.gov/cgi-bin/fecimg/?_201908020300290676+0","","","JULY QUARTERLY","02-AUG-19","16-APR-19","15-JUL-19","0","0"
"C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201907319161278500+0","","","QUARTERLY MID-YEAR / SEMI-ANN","31-JUL-19","01-JAN-19","30-JUN-19","2190562.5","2190562.5"
"C00697664","AFRICANS FOR MAGA","http://docquery.fec.gov/cgi-bin/fecimg/?_201908070300291861+0","","","JULY QUARTERLY","30-JUL-19","01-JAN-19","01-JUN-19","",""
"C00618389","TRUMP VICTORY","http://docquery.fec.gov/cgi-bin/fecimg/?_201907199151532879+0","","","JULY QUARTERLY / SEMI-ANNUAL","19-JUL-19","01-APR-19","30-JUN-19","1036634.59","1036634.59"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201907199151512051+0","","","JULY MONTHLY / SEMI-ANNUAL","19-JUL-19","01-JUN-19","30-JUN-19","124362.5","1608462.5"
"C00369033","TEXANS FOR SENATOR JOHN CORNYN INC","http://docquery.fec.gov/cgi-bin/fecimg/?_201907159150831445+0","","","QUARTERLY MID-YEAR / SEMI-ANN","15-JUL-19","01-JAN-19","30-JUN-19","198600","198600"
"C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201907159150810434+0","OR","02","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-19","01-APR-19","30-JUN-19","1500","27000"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201907159150837289+0","WI","00","QUARTERLY SEMI-ANNUAL (MY)","15-JUL-19","01-APR-19","30-JUN-19","0","0"
"C00457325","SHAHEEN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201907159150986947+0","NH","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-19","01-APR-19","30-JUN-19","26945","54895"
"C00458828","TEAM GRAHAM, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_201907159151334045+0","SC","00","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-19","01-APR-19","30-JUN-19","156700","329450"
"C00437277","JEFF MERKLEY FOR OREGON","http://docquery.fec.gov/cgi-bin/fecimg/?_201907159151131802+0","OR","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-19","01-JAN-19","30-JUN-19","20400","20400"
"C00618389","TRUMP VICTORY","http://docquery.fec.gov/cgi-bin/fecimg/?_201907159150983654+0","","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-19","01-APR-19","30-JUN-19","111434.59","111434.59"
"C00650150","ELISSA SLOTKIN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201907149150595999+0","MI","08","JULY QUARTERLY / SEMI-ANNUAL","14-JUL-19","01-JAN-19","30-JUN-19","36831.98","36831.98"
"C00457325","SHAHEEN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201907129150582558+0","NH","","APRIL QUARTERLY","12-JUL-19","01-JAN-19","31-MAR-19","27950","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201906209150168413+0","","","JUNE MONTHLY","20-JUN-19","01-MAY-19","31-MAY-19","51000","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201905209149763730+0","","","MAY MONTHLY","20-MAY-19","01-APR-19","30-APR-19","95450","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201904259149600801+0","","","APRIL MONTHLY","25-APR-19","01-MAR-19","31-MAR-19","727900","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201904189149491883+0","","","APRIL MONTHLY","18-APR-19","01-MAR-19","31-MAR-19","659900","0"
"C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201904159146179776+0","OR","02","APRIL QUARTERLY","15-APR-19","01-JAN-19","31-MAR-19","25500","25500"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201904159146173320+0","WI","00","APRIL QUARTERLY","15-APR-19","01-JAN-19","31-MAR-19","0","0"
"C00458828","TEAM GRAHAM, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_201904159146384416+0","SC","00","APRIL QUARTERLY","15-APR-19","01-JAN-19","31-MAR-19","172750","0"
"C00398941","NEW YORKERS FOR YVETTE D. CLARKE","http://docquery.fec.gov/cgi-bin/fecimg/?_201904139146113734+0","","","APRIL QUARTERLY","13-APR-19","01-JAN-19","31-MAR-19","0","0"
"C00674408","AMERICAN-HAITIAN GENERATION IN ACTION","http://docquery.fec.gov/cgi-bin/fecimg/?_201904090300271607+0","","","APRIL QUARTERLY","09-APR-19","01-JAN-19","15-APR-19","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201903209145882542+0","","","MARCH MONTHLY","20-MAR-19","01-FEB-19","28-FEB-19","374500","0"
"C00505552","HEIDI FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201902279145593235+0","ND","","QUARTERLY SEMI-ANNUAL (YE)","27-FEB-19","27-NOV-18","31-DEC-18","0","115658.6"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201902149145511221+0","","","FEBRUARY MONTHLY","14-FEB-19","01-JAN-19","31-JAN-19","108750","0"
"C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319144293679+0","OH","00","QUARTERLY YEAR END / SEMI-ANN","31-JAN-19","01-OCT-18","31-DEC-18","22896.37","73138.71"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319144305512+0","CO","00","QUARTERLY YEAR END / SEMI-ANN","31-JAN-19","27-NOV-18","31-DEC-18","28000","28000"
"C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319144305599+0","","","QUARTERLY YEAR END / SEMI-ANN","31-JAN-19","01-OCT-18","31-DEC-18","35500","252825"
"C00431304","MCCASKILL FOR MISSOURI","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319145234472+0","MO","00","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-19","18-OCT-18","31-DEC-18","0","101005.99"
"C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319145245365+0","NV","00","QUARTERLY YEAR END / SEMI-ANN","31-JAN-19","01-OCT-18","31-DEC-18","21904","98842.16"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319145328820+0","WI","00","QUARTERLY SEMI-ANNUAL (YE)","31-JAN-19","27-NOV-18","31-DEC-18","0","32679"
"C00637868","COLIN ALLRED FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319145361295+0","","00","QUARTERLY YEAR END / SEMI-ANN","31-JAN-19","01-JUL-18","31-DEC-18","58881.83","58881.83"
"C00508804","SINEMA FOR ARIZONA","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319145362566+0","AZ","00","QUARTERLY YEAR END / SEMI-ANN","31-JAN-19","01-OCT-18","31-DEC-18","17251","51543.5"
"C00398941","NEW YORKERS FOR YVETTE D. CLARKE","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319145433066+0","","","QUARTERLY YEAR END / SEMI-ANN","31-JAN-19","01-OCT-18","31-DEC-18","0","0"
"C00501197","BETO FOR TEXAS","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319145394962+0","TX","00","QUARTERLY YEAR END / SEMI-ANN","31-JAN-19","01-OCT-18","31-DEC-18","29800.83","132921.49"
"C00634253","MIKE LEVIN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201901319145389328+0","CA","49","QUARTERLY YEAR END / SEMI-ANN","31-JAN-19","01-OCT-18","31-DEC-18","23052.22","44563.15"
"C00674408","AMERICAN-HAITIAN GENERATION IN ACTION","http://docquery.fec.gov/cgi-bin/fecimg/?_201901300300258854+0","","","JULY QUARTERLY","29-JAN-19","20-APR-18","15-JUN-18","0","0"
"C00674408","AMERICAN-HAITIAN GENERATION IN ACTION","http://docquery.fec.gov/cgi-bin/fecimg/?_201901300300258848+0","","","OCTOBER QUARTERLY","29-JAN-19","","15-OCT-18","0","0"
"C00674408","AMERICAN-HAITIAN GENERATION IN ACTION","http://docquery.fec.gov/cgi-bin/fecimg/?_201901300300258842+0","","","YEAR-END","29-JAN-19","01-JUN-18","31-DEC-18","0","0"
"C00674408","AMERICAN-HAITIAN GENERATION IN ACTION","http://docquery.fec.gov/cgi-bin/fecimg/?_201901300300258836+0","","","APRIL MONTHLY","29-JAN-19","","20-APR-18","0","0"
"C00622795","LIBERTARIAN PARTY OF GEORGIA","http://docquery.fec.gov/cgi-bin/fecimg/?_201901289144024221+0","","","QUARTERLY YEAR END / SEMI-ANN","28-JAN-19","27-NOV-18","31-DEC-18","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201901239143927652+0","","","MONTHLY SEMI-ANNUAL (YE)","23-JAN-19","27-NOV-18","31-DEC-18","0","456130.12"
"C00679761","HILDT4CONGRESS.ORG ELECTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_201901290300257787+0","TX","23","YEAR-END","27-DEC-18","","27-DEC-18","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201811309133895650+0","","","POST-GENERAL","30-NOV-18","18-OCT-18","26-NOV-18","21000","0"
"C00431304","MCCASKILL FOR MISSOURI","http://docquery.fec.gov/cgi-bin/fecimg/?_201810259133382930+0","MO","00","PRE-GENERAL","25-OCT-18","01-OCT-18","17-OCT-18","21445.16","0"
"C00505552","HEIDI FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201810259130954534+0","ND","","PRE-GENERAL","25-OCT-18","01-OCT-18","17-OCT-18","30732.44","0"
"C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201810259130924266+0","NV","00","OCTOBER QUARTERLY","25-OCT-18","01-JUL-18","30-SEP-18","69987.16","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201810239130803683+0","","","PRE-GENERAL","23-OCT-18","01-OCT-18","17-OCT-18","102000","0"
"C00461772","WESTERN REPRESENTATION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201810179125571087+0","","","OCTOBER QUARTERLY","17-OCT-18","01-JUL-18","30-SEP-18","0","0"
"C00652388","JOE SULLIVAN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159125511976+0","MN","01","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","0","0"
"C00634253","MIKE LEVIN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159125309923+0","CA","49","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","21510.93","0"
"C00648956","TJ COX FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159125458160+0","CA","21","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","20653.05","0"
"C00650648","CISNEROS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159125505407+0","CA","39","OCTOBER QUARTERLY","15-OCT-18","01-JUN-18","30-SEP-18","26029.53","0"
"C00501197","BETO FOR TEXAS","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159125432613+0","TX","00","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","74024.66","0"
"C00637868","COLIN ALLRED FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159125450228+0","TX","32","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","46073.21","0"
"C00431304","MCCASKILL FOR MISSOURI","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159125057484+0","MO","00","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","65185.83","0"
"C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159125010220+0","","","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","217325","0"
"C00508804","SINEMA FOR ARIZONA","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159124957628+0","AZ","00","OCTOBER QUARTERLY","15-OCT-18","09-AUG-18","30-SEP-18","28892.5","0"
"C00656686","TOM MALINOWSKI FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159124909114+0","NJ","07","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","27968.59","0"
"C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159124880274+0","OH","00","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","50242.34","0"
"C00505552","HEIDI FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159124798171+0","ND","","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","73921.16","0"
"C00634006","THE COLORADO WAY","http://docquery.fec.gov/cgi-bin/fecimg/?_201810159124793387+0","DC","00","OCTOBER QUARTERLY","15-OCT-18","01-JUL-18","30-SEP-18","23800","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201810109124446833+0","","","OCTOBER MONTHLY","10-OCT-18","01-SEP-18","30-SEP-18","28955.12","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201809199121965874+0","","","SEPTEMBER MONTHLY","19-SEP-18","01-AUG-18","31-AUG-18","161325","0"
"C00516047","ANGUS KING FOR US SENATE CAMPAIGN","http://docquery.fec.gov/cgi-bin/fecimg/?_201808220200713586+0","ME","00","JULY QUARTERLY","18-AUG-18","01-APR-18","30-JUN-18","21911","44156"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201808130200675405+0","WI","00","PRE-PRIMARY","13-AUG-18","01-JUL-18","25-JUL-18","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201808109119388947+0","","","AUGUST MONTHLY","10-AUG-18","01-JUL-18","31-JUL-18","20000","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201807199115782555+0","","","QUARTERLY MID-YEAR / SEMI-ANN","19-JUL-18","01-JUN-18","30-JUN-18","199542.5","1521817.5"
"C00474189","MIKE KELLY FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201807159115535798+0","PA","16","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-18","01-JAN-18","30-JUN-18","19833.29","19833.29"
"C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201807230200660236+0","NV","00","JULY QUARTERLY","14-JUL-18","24-MAY-18","30-JUN-18","0","106409"
"C00501197","BETO FOR TEXAS","http://docquery.fec.gov/cgi-bin/fecimg/?_201807230200660226+0","TX","00","APRIL QUARTERLY","14-JUL-18","15-FEB-18","31-MAR-18","38681","0"
"C00431056","BOB CASEY FOR SENATE INC","http://docquery.fec.gov/cgi-bin/fecimg/?_201807230200660231+0","PA","00","JULY QUARTERLY","14-JUL-18","26-APR-18","30-JUN-18","0","21327"
"C00501197","BETO FOR TEXAS","http://docquery.fec.gov/cgi-bin/fecimg/?_201807230200660221+0","TX","10","JULY QUARTERLY","14-JUL-18","01-APR-18","30-JUN-18","34064","74102"
"C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201807180200561494+0","OH","00","JULY QUARTERLY","13-JUL-18","19-APR-18","30-JUN-18","27986","226140"
"C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201807180200561753+0","","","JULY QUARTERLY","13-JUL-18","01-APR-18","30-JUN-18","454067","1836167"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201807190200592750+0","WI","00","JULY QUARTERLY","13-JUL-18","01-APR-18","30-JUN-18","37623","87076"
"C00505552","HEIDI FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201807170200519660+0","ND","","JULY QUARTERLY","13-JUL-18","24-MAY-18","30-JUN-18","20120","20120"
"C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201807139115408396+0","OR","02","JULY QUARTERLY / SEMI-ANNUAL","13-JUL-18","26-APR-18","30-JUN-18","500","27687"
"C00676965","RICK SCOTT FOR FLORIDA","http://docquery.fec.gov/cgi-bin/fecimg/?_201807180200570622+0","","","JULY QUARTERLY","12-JUL-18","01-APR-18","30-JUN-18","97200","97200"
"C00516047","ANGUS KING FOR US SENATE CAMPAIGN","http://docquery.fec.gov/cgi-bin/fecimg/?_201807180200572523+0","ME","00","JULY QUARTERLY","12-JUL-18","01-APR-18","30-JUN-18","21911","0"
"C00677468","GREEN SENATE IMPACT 2018","http://docquery.fec.gov/cgi-bin/fecimg/?_201807100200479927+0","AZ","00","JULY QUARTERLY","10-JUL-18","01-APR-18","30-JUN-18","247650","247650"
"C00668046","KELLY STANDLEY FOR HOUSE OF REPRESENTATIVES","http://docquery.fec.gov/cgi-bin/fecimg/?_201806299115200024+0","","","JULY QUARTERLY / SEMI-ANNUAL","29-JUN-18","01-APR-18","30-JUN-18","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201806219115161565+0","","","JUNE MONTHLY","21-JUN-18","01-MAY-18","31-MAY-18","96650","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201806199113750546+0","","","MAY MONTHLY","19-JUN-18","01-MAY-18","31-MAY-18","96650","0"
"C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201805310200396848+0","NV","00","PRE-PRIMARY","31-MAY-18","01-APR-18","23-MAY-18","47780","0"
"C00448563","3RD AND LONG PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201805209112188181+0","","","MAY MONTHLY","20-MAY-18","01-APR-18","30-APR-18","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201805189112101671+0","","","MAY MONTHLY","18-MAY-18","01-APR-18","30-APR-18","210800","0"
"C00648600","CRAWFORD FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201805090300211099+0","NE","01","PRE-PRIMARY","07-MAY-18","01-APR-18","25-APR-18","0","0"
"C00571638","AMERICANS FOR HEALTH AND EDUCATION, PAC","http://docquery.fec.gov/cgi-bin/fecimg/?_201805079111994318+0","","","APRIL QUARTERLY","07-MAY-18","01-JAN-18","31-MAR-18","0","0"
"C00667121","RANE EIR SESSIONSCOMMITTEE TO ELECT","http://docquery.fec.gov/cgi-bin/fecimg/?_201805069111990951+0","KY","","PRE-PRIMARY","06-MAY-18","01-APR-18","02-MAY-18","0","0"
"C00667121","RANE EIR SESSIONSCOMMITTEE TO ELECT","http://docquery.fec.gov/cgi-bin/fecimg/?_201805039111749564+0","","","APRIL QUARTERLY","03-MAY-18","01-JAN-18","31-MAR-18","0","0"
"C00667121","RANE EIR SESSIONSCOMMITTEE TO ELECT","http://docquery.fec.gov/cgi-bin/fecimg/?_201805039111749572+0","KY","","PRE-PRIMARY","03-MAY-18","01-APR-18","02-MAY-18","0","0"
"C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201804260200362049+0","OH","00","PRE-PRIMARY","26-APR-18","01-APR-18","18-APR-18","66285","0"
"C00670612","GUNSENSENOW","http://docquery.fec.gov/cgi-bin/fecimg/?_201804180300206769+0","","","APRIL QUARTERLY","18-APR-18","01-JAN-18","30-MAR-18","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201804179110320948+0","","","APRIL MONTHLY","17-APR-18","01-MAR-18","31-MAR-18","524100","0"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201804190200328660+0","WI","00","APRIL QUARTERLY","14-APR-18","01-JAN-18","31-MAR-18","49452","0"
"C00663708","EDEN, MADELINE KATHERINE","http://docquery.fec.gov/cgi-bin/fecimg/?_201804149108092544+0","","","APRIL QUARTERLY","14-APR-18","01-JAN-18","31-MAR-18","0","0"
"C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201804170200246344+0","","","APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18","1275550","0"
"C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201804160200228545+0","OH","00","APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18","96760","0"
"C00500843","ELIZABETH FOR MA INC","http://docquery.fec.gov/cgi-bin/fecimg/?_201804190200317084+0","MA","00","APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18","27149","0"
"C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201804139108071986+0","OR","02","APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18","27187","27187"
"C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201804170200250813+0","NV","00","APRIL QUARTERLY","13-APR-18","01-JAN-18","31-MAR-18","19072","0"
"C00668046","KELLY STANDLEY FOR HOUSE OF REPRESENTATIVES","http://docquery.fec.gov/cgi-bin/fecimg/?_201804129107988410+0","","","APRIL QUARTERLY","12-APR-18","01-JAN-18","31-MAR-18","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201803209096638232+0","","","MARCH MONTHLY","20-MAR-18","01-FEB-18","28-FEB-18","144000","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201802209094625673+0","","","FEBRUARY MONTHLY","20-FEB-18","01-JAN-18","31-JAN-18","91750","0"
"C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_201802050200109577+0","NV","00","YEAR-END","02-FEB-18","01-OCT-17","31-DEC-17","38635","75629"
"C00582064","TRADITIONAL MARRIAGE COALITION","http://docquery.fec.gov/cgi-bin/fecimg/?_201802010300191432+0","","","YEAR-END","01-FEB-18","","","0","0"
"C00558437","BONNIE WATSON COLEMAN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201801319091079249+0","NJ","12","QUARTERLY YEAR END / SEMI-ANN","31-JAN-18","01-OCT-17","31-DEC-17","18430","20940"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201801319091220348+0","","","MONTHLY SEMI-ANNUAL (YE)","31-JAN-18","01-JUL-17","31-DEC-17","0","592571.19"
"C00410803","WHITEHOUSE FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201802060200124432+0","RI","00","YEAR-END","31-JAN-18","01-OCT-17","31-DEC-17","40200","48900"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201802060200124336+0","WI","00","YEAR-END","31-JAN-18","01-OCT-17","31-DEC-17","37311","90496"
"C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_201802020200082198+0","OH","00","YEAR-END","31-JAN-18","01-OCT-17","31-DEC-17","36722","57252"
"C00271338","AMERIPAC: THE FUND FOR A GREATER AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?_201801319091013919+0","","","MONTHLY YEAR END / SEMI-ANNUAL","31-JAN-18","01-JUL-17","31-DEC-17","24400","24400"
"C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201801310200055452+0","","","YEAR-END","31-JAN-18","01-JUL-17","31-DEC-17","790409","790409"
"C00333427","WALDEN FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201801309090935653+0","OR","02","QUARTERLY YEAR END / SEMI-ANN","30-JAN-18","01-OCT-17","31-DEC-17","2325","24975"
"C00516047","ANGUS KING FOR US SENATE CAMPAIGN","http://docquery.fec.gov/cgi-bin/fecimg/?_201802050200115518+0","ME","00","YEAR-END","29-JAN-18","01-JUL-17","31-DEC-17","46465","53517"
